date,away_team,home_team,away_score,home_score,winner,final_score,total_goals
2024-01-23,Penguins,Coyotes,2,5,home,2-5,7
2024-01-23,Blackhawks,Canucks,0,2,home,0-2,2
2024-01-23,Sharks,Kings,4,3,away,4-3,7
2024-01-24,Stars,Red Wings,5,4,away,5-4,9
2024-01-24,Senators,Canadiens,4,1,away,4-1,5
2024-01-24,Lightning,Flyers,6,3,away,6-3,9
2024-01-24,Golden Knights,Islanders,3,2,away,3-2,5
2024-01-24,Capitals,Wild,3,5,home,3-5,8
2024-01-24,Blues,Flames,4,3,away,4-3,7
2024-01-24,Blue Jackets,Oilers,1,4,home,1-4,5
2024-01-24,Sabres,Ducks,2,4,home,2-4,6
2024-01-24,Rangers,Sharks,2,3,home,2-3,5
2024-01-25,Coyotes,Panthers,2,6,home,2-6,8
2024-01-25,Jets,Maple Leafs,0,1,home,0-1,1
2024-01-25,Hurricanes,Bruins,3,2,away,3-2,5
2024-01-25,Capitals,Avalanche,2,6,home,2-6,8
2024-01-25,Blackhawks,Kraken,2,6,home,2-6,8
2024-01-25,Blues,Canucks,4,3,away,4-3,7
2024-01-25,Sabres,Kings,5,3,away,5-3,8
2024-01-26,Flyers,Red Wings,0,3,home,0-3,3
2024-01-26,Islanders,Canadiens,3,4,home,3-4,7
2024-01-26,Bruins,Senators,3,2,away,3-2,5
2024-01-26,Coyotes,Lightning,3,6,home,3-6,9
2024-01-26,Devils,Hurricanes,2,3,home,2-3,5
2024-01-26,Ducks,Stars,3,4,home,3-4,7
2024-01-26,Predators,Wild,3,2,away,3-2,5
2024-01-26,Blue Jackets,Flames,5,2,away,5-2,7
2024-01-26,Blackhawks,Oilers,0,3,home,0-3,3
2024-01-27,Golden Knights,Rangers,5,2,away,5-2,7
2024-01-27,Panthers,Penguins,3,2,away,3-2,5
2024-01-27,Kings,Avalanche,1,5,home,1-5,6
2024-01-27,Blues,Kraken,4,3,away,4-3,7
2024-01-27,Bruins,Flyers,6,2,away,6-2,8
2024-01-27,Capitals,Stars,4,5,home,4-5,9
2024-01-27,Predators,Oilers,1,4,home,1-4,5
2024-01-27,Sabres,Sharks,5,2,away,5-2,7
2024-01-28,Coyotes,Hurricanes,1,3,home,1-3,4
2024-01-28,Rangers,Senators,7,2,away,7-2,9
2024-01-28,Canadiens,Penguins,2,3,home,2-3,5
2024-01-28,Devils,Lightning,3,6,home,3-6,9
2024-01-28,Maple Leafs,Jets,4,2,away,4-2,6
2024-01-28,Panthers,Islanders,3,2,away,3-2,5
2024-01-28,Golden Knights,Red Wings,2,5,home,2-5,7
2024-01-28,Ducks,Wild,3,2,away,3-2,5
2024-01-28,Blackhawks,Flames,0,1,home,0-1,1
2024-01-28,Blue Jackets,Canucks,4,5,home,4-5,9
2024-01-28,Kings,Blues,3,4,home,3-4,7
2024-01-29,Blue Jackets,Kraken,2,4,home,2-4,6
2024-01-24,Stars,Red Wings,5,4,away,5-4,9
2024-01-24,Senators,Canadiens,4,1,away,4-1,5
2024-01-24,Lightning,Flyers,6,3,away,6-3,9
2024-01-24,Golden Knights,Islanders,3,2,away,3-2,5
2024-01-24,Capitals,Wild,3,5,home,3-5,8
2024-01-24,Blues,Flames,4,3,away,4-3,7
2024-01-24,Blue Jackets,Oilers,1,4,home,1-4,5
2024-01-24,Sabres,Ducks,2,4,home,2-4,6
2024-01-24,Rangers,Sharks,2,3,home,2-3,5
2024-01-25,Coyotes,Panthers,2,6,home,2-6,8
2024-01-25,Jets,Maple Leafs,0,1,home,0-1,1
2024-01-25,Hurricanes,Bruins,3,2,away,3-2,5
2024-01-25,Capitals,Avalanche,2,6,home,2-6,8
2024-01-25,Blackhawks,Kraken,2,6,home,2-6,8
2024-01-25,Blues,Canucks,4,3,away,4-3,7
2024-01-25,Sabres,Kings,5,3,away,5-3,8
2024-01-26,Flyers,Red Wings,0,3,home,0-3,3
2024-01-26,Islanders,Canadiens,3,4,home,3-4,7
2024-01-26,Bruins,Senators,3,2,away,3-2,5
2024-01-26,Coyotes,Lightning,3,6,home,3-6,9
2024-01-26,Devils,Hurricanes,2,3,home,2-3,5
2024-01-26,Ducks,Stars,3,4,home,3-4,7
2024-01-26,Predators,Wild,3,2,away,3-2,5
2024-01-26,Blue Jackets,Flames,5,2,away,5-2,7
